Designator,Mid X,Mid Y,Rotation,Layer
C1,94.35,-90.275,0.0,bottom
D1,97.65,-93.025,0.0,bottom
L1,106.5895,-86.327,270.0,bottom
R1,94.45,-92.925,0.0,bottom
U1,97.175,-90.25,90.0,bottom
